Numero,Pregunta,RE
1,La mayor parte del tiempo tengo dificultad para concentrarme en tareas sencillas,1
2,No siento ganas de hacer mis deberes cotidianos,1
3,Mis amigos o familiares me han dicho que me veo diferente,1
4,Cuando pienso en el futuro me es difícil imaginarlo con claridad,1
5,La gente que me rodea suele preguntarme cómo me siento,1
6,Considero que mi vida está llena de cosas buenas,0
7,Mis aficiones siguen siendo importante,0
8,Sigo siendo tan puntual como siempre he sido,0
9,"Si tuviera oportunidad, pasaría todo el día en mi cama",1
10,Me he dado cuenta de que puedo pasar mucho tiempo deslizando la pantalla de mi ceclular sin buscar o deternerme en algo en particular,1
11,"Cuando me preguntan algo, he notado que tardo más tiempo de lo normal en responder",1
12,He notado que mi cuerpo se agita sin causa alguna,1
13,Antes me sentía más animado para hacer mis actividades diarias,1
14,Creo que mis pensamientos son extraños o distintos a los de antes,1
15,En los últimos meses suelo reprocharme cosas del pasado,1
16,Creo que mis pensamientos son extraños o distintos a los de antes,1
17,Siento culpa sobre las decisiones que he tomado,1
18,No me siento tan cómodo con mi cuerpo como me sentía antes,1
19,Comparado con los demás no me siento exitoso,1
20,Me resulta complicado poder tomar decisiones aunque sean sencillas,1
21,Soy capaz de lograr lo que me propongo,0
22,No se me dificulta entender algo a la primera,0
23,He pensado más que antes en cómo sería mi muerte,1
24,Estar muerto parece ser una solución a algunos problemas,1
25,Prefiero quedarme en casa que salir con mis amigos,1
26,Me gusta asistir a reuniones familiares,0
27,Me siento entusiasmado al pensar en mi proyecto de vida,0
28,Las decisiones que he tomado hasta hoy han sido las correctas,0
29,Soy capaz de realizar mis actividades como siempre lo he sido,0
30,"Me gusta estar en contacto con mis amigos y familia a través de las redes sociales",0
31,"Me resulta fácil escoger una fotografía propia para mostrarla en las redes sociales",0
32,Estoy orgulloso de lo que he logrado hasta ahora,0
33,Tengo dificultades para recordar cosas con facilidad,1
34,". En los últimos meses he tenido discusiones con mis compañeros de escuela y/o trabajo",1
35,Constantemente imagino que algo saldrá mal en mi trabajo y/o en la escuela,1
36,Tengo miedo de equivocarme al hacer mis deberes,1
37,No me preocupa tanto lo que pueda pasar en unas semanas,0
38,Últimamente me es difícil calmarme,1
39,Todo saldrá bien,0
40,Puedo poner mi mente en blanco con facilidad,0
41,Me molestan cosas insignificantes que antes no eran importantes,1
42,Me resulta incomodo estar en un espacio donde haya muchas personas,1
43,A veces me siento atrapado,1
44,Me espanto fácilmente con ruidos inesperados,1
45,Tengo dificultades para hacer una tarea a la vez,1
46,Tengo la sensación de que se me está olvidando hacer algo,1
47,Puedo expresarle con claridad a los otros cómo me siento,0
48,Puedo dormir fácilmente,0
49,Disfruto de cada momento del día,0
50,"Imagino que en cualquier momento puede suceder un desastre de la naturaleza",1
51,A veces siento que me canso fácilmente,1
52,Quedarme encerrado en un elevador sería de lo peor que podría pasarme,1
53,Me molesta la gente que camina lento por la calle frente a mí,1
54,No suelo alterarme si algo no sale como lo esperaba,0
55,"A veces es como si algunas pláticas con amigos o familiares se volvieran interrogatorios",1
56,Manejo mis horarios como siempre lo he hecho,0
57,Me incomoda sentir que la gente en la calle se me acerque,1
58,No tengo dificultades para entender lo que la gente me explica,0
59,Considero que soy bueno controlando mis emociones,0
60,Ante situaciones nuevas me siento tranquilo y animado,0
61,A veces olvido lo que quería decir porque tengo varios pensamientos a la vez,1
62,Me gustaría saber lo que va a pasar en el futuro,1
63,Al enojarme puedo explotar con facilidad,1
64,Puedo dejar el celular y dedicarme a leer sin distracciones,0
65,Me preocupa que la gente no entienda lo que quiero decir,1
66,A veces no escucho lo que me dicen por estar pensando otras cosas,1
67,Me enojo con facilidad,1
68,Tengo miedo de que algo malo me pueda pasar,1
69,No me resulta importante cumplir con fechas establecidas,1
70,Me gusta pensar con claridad antes de dar mi opinión,0
71,Utilizo las mentiras sólo para salir de algunos problemas,1
72,"Si tengo oportunidad de meterme a una fila para no perder tiempo, lo hago",1
73,Tengo dificultades para hacer planes elaborados,1
74,La gente tiene problemas por su culpa,1
75,No me parece importante lo que los otros piensen sobre mí,1
76,Las leyes no son tan importantes como otros creen,1
77,Me lamentaría al traicionar a un amigo,0
78,Prefiero que una negociación apoye al mayor número posible de involucrados,0
79,Se me facilita trabajar en equipo,0
80,Es importante ayudar a la gente cuando lo necesita,0
81,He golpeado a alguien o he pensado en hacerlo,1
82,Si fuera necesario me haría pasar por alguien más para conseguir algo,1
83,Considero importante procurar mi seguridad física y la de los que me rodean,0
84,Después de una discusión suelo repasar en mi cabeza lo sucedido,0
85,Tengo dificultades para controlarme cuando me enojo,1
86,La lealtad es importante,0
87,Si puedo ayudar a una persona me detengo a hacerlo,0
88,A veces la gente necesita de la fuerza física para entender,1
89,Me da risa cuando mis superiores en la escuela o en el trabajo reclaman algo,1
90,Engañar a las personas no está mal si es para lograr algo importante,1
91,Me gusta saludar a mis vecinos,0
92,No me parece grave tener algunas deudas,1
93,La gente roba porque tiene necesidades,1
94,Pierdo el control fácilmente,1
95,Los vecinos deben soportar los ruidos de los otros sin quejarse,1
96,Tirar basura en la vía pública es algo incorrecto,0
97,La gente que comete crímenes tiene sus razones para hacerlo,1
98,Es normal cambiar de trabajo varias veces al año,1
99,Es importante respetar los turnos,0
100,Podría hacerme pasar por alguien más para lograr lo que deseo,1
101,Considero importante que todas las personas tengan los mismos derechos,0
102,Me cuesta trabajo aceptar un “no” como respuesta,1
